year,duration,dist,u
1978,18,20,0.681172543
1978,6,20,0
1978,24,20,0.461826089
1978,42,20,1.365697038
1978,48,20,0.416190127
1978,24,20,0.80039297
1978,30,20,0.339400845
1978,18,20,0.882183965
1978,6,20,0.253559764
1978,18,20,0.811557074
1978,6,20,0.053338229
1978,18,20,0.99787251
1978,24,20,0.515972579
1978,6,20,0.052180863
1978,18,20,1.201496374
1978,6,20,0.556439041
1978,18,20,1.461378912
1978,6,20,0.116078651
1978,18,20,1.349850369
1978,30,20,0.480528028
1978,72,20,0.089806118
1978,18,20,0.82993281
1978,24,20,0
1978,24,20,0.331015702
1978,6,20,0
1978,24,20,0.338276192
1978,24,20,0.946341095
1978,18,20,1.408023091
1978,24,20,0.086473217
1979,6,20,1.306039088
1979,66,20,2.231018261
1979,6,20,1.129360013
1979,18,20,0.96882919
1979,6,20,0.274984504
1979,18,20,0.934867083
1979,6,20,1.39651751
1979,18,20,1.686476821
1979,24,20,1.455507387
1979,72,20,0.958784952
1979,48,20,1.59808336
1979,6,20,1.001435905
1979,24,20,0
1979,42,20,0.380223791
1979,6,20,0
1979,42,20,0.866135388
1979,24,20,0.085682258
1979,30,20,0.898296195
1979,18,20,0
1979,6,20,0.341481926
1979,18,20,0.822293878
1979,72,20,0
1979,6,20,0.651001804
1979,18,20,1.151430116
1979,6,20,0
1979,42,20,1.548006762
1979,6,20,0
1979,18,20,1.126364682
1979,6,20,0.153581714
1979,18,20,0.768449263
1979,6,20,0
1979,18,20,1.008051364
1979,6,20,0.368852118
1979,42,20,0.949369883
1979,6,20,1.016679516
1979,18,20,0.760117997
1979,48,20,0.235852945
1979,6,20,0.980095211
1979,18,20,1.286732213
1979,24,20,0.663443975
1979,6,20,1.164068054
1979,18,20,0.380914473
1979,24,20,0
1979,6,20,0.284292876
1979,18,20,0.791236364
1979,6,20,0.277880949
1979,24,20,0.807537249
1979,42,20,1.212027832
1979,6,20,0.191297739
1979,42,20,1.145131009
1979,6,20,0.423140423
1979,18,20,0.099927044
1979,48,20,0.85708628
1979,6,20,0.058134488
1979,18,20,1.082792381
1979,6,20,0.274266434
1979,66,20,0.679043196
1979,24,20,1.538701652
1979,6,20,0.99913913
1979,24,20,1.392893887
1979,42,20,0.910980869
1979,6,20,0.319760033
1979,18,20,1.062686078
1979,6,20,0.415255509
1979,18,20,0.953462837
1979,6,20,0.043767639
1979,24,20,0.613418752
1979,18,20,1.084796641
1979,48,20,0.534987186
1979,6,20,0
1979,24,20,0.812439461
1979,42,20,0.305455232
1979,6,20,0
1979,18,20,0.360755336
1979,24,20,0
1979,6,20,0.451324532
1979,24,20,0
1979,18,20,0.757475414
1979,6,20,0
1979,42,20,0.881855757
1979,6,20,0.371704913
1979,18,20,0.869930239
1979,48,20,1.314029735
1979,30,20,0.241138609
1979,18,20,0.704962825
1979,6,20,1.169613041
1979,18,20,0
1979,24,20,0.300006507
1979,30,20,0.66073766
1979,48,20,1.012446982
1979,24,20,0.64886242
1979,42,20,0.226210377
1979,30,20,1.032791759
1979,18,20,1.447685371
1979,30,20,1.086230312
1979,66,20,1.481715932
1979,6,20,0.932330179
1979,18,20,1.450793737
1979,48,20,0.835339547
1979,72,20,1.32768196
1979,24,20,1.639190751
1979,6,20,1.350341518
1979,18,20,1.544782642
1979,78,20,1.345235762
1979,18,20,1.9381653
1979,72,20,1.631479522
1979,6,20,0.131706755
1979,18,20,0.825292507
1979,30,20,0.309322548
1979,18,20,0.956263782
1979,72,20,0.23198882
1979,102,20,0.943617854
1979,18,20,0.14781145
1979,24,20,0.77141104
1979,126,20,1.338752043
1979,42,20,0.902544065
1979,78,20,0.345478623
1979,18,20,0.860088289
1979,6,20,0.419392511
1979,18,20,0.864862527
1979,30,20,0.181715144
1979,18,20,0.53013742
1979,96,20,1.343564047
1979,24,20,1.643378466
1979,48,20,1.172204889
1979,6,20,1.806246893
1979,114,20,1.335948766
1979,24,20,1.619370675
1979,54,20,1.348720548
1979,42,20,0.584836608
1979,54,20,1.133670566
1979,18,20,1.353004202
1979,72,20,1.772409107
1979,6,20,1.212910819
1979,24,20,1.409264876
1979,42,20,0.928341811
1979,102,20,1.40190118
1979,18,20,1.56725016
1979,24,20,1.291719917
1979,6,20,0.156642379
1979,24,20,0.867953129
1979,48,20,1.294563197
1979,18,20,1.574444569
