kappa	t	t_1
0.25	-1.55	-1.41978546428647
0.25	-1.54	-1.40996138639491
0.25	-1.53	-1.40013791914514
0.25	-1.52	-1.39031504678648
0.25	-1.51	-1.3804927523623
0.25	-1.5	-1.37067101783024
0.25	-1.49	-1.36084982417976
0.25	-1.48	-1.35102915154667
0.25	-1.47	-1.34120897932456
0.25	-1.46	-1.33138928627265
0.25	-1.45	-1.32157005061998
0.25	-1.44	-1.31175125016573
0.25	-1.43	-1.30193286237544
0.25	-1.42	-1.29211486447297
0.25	-1.41	-1.28229723352813
0.25	-1.4	-1.27247994653978
0.25	-1.39	-1.26266298051435
0.25	-1.38	-1.25284631253975
0.25	-1.37	-1.24302991985451
0.25	-1.36	-1.23321377991224
0.25	-1.35	-1.22339787044139
0.25	-1.34	-1.21358216950018
0.25	-1.33	-1.20376665552696
0.25	-1.32	-1.19395130738592
0.25	-1.31	-1.18413610440819
0.25	-1.3	-1.17432102642852
0.25	-1.29	-1.16450605381764
0.25	-1.28	-1.15469116751028
0.25	-1.27	-1.14487634902917
0.25	-1.26	-1.13506158050505
0.25	-1.25	-1.12524684469292
0.25	-1.24	-1.11543212498455
0.25	-1.23	-1.10561740541768
0.25	-1.22	-1.09580267068185
0.25	-1.21	-1.08598790612118
0.25	-1.2	-1.07617309773424
0.25	-1.19	-1.06635823217125
0.25	-1.18	-1.0565432967288
0.25	-1.17	-1.04672827934225
0.25	-1.16	-1.03691316857603
0.25	-1.15	-1.02709795361204
0.25	-1.14	-1.01728262423644
0.25	-1.13	-1.00746717082475
0.25	-1.12	-0.997651584325831
0.25	-1.11	-0.987835856244538
0.25	-1.1	-0.978019978623542
0.25	-1.09	-0.96820394402428
0.25	-1.08	-0.95838774550728
0.25	-1.07	-0.948571376612004
0.25	-1.06	-0.938754831336342
0.25	-1.05	-0.92893810411589
0.25	-1.04	-0.919121189803158
0.25	-1.03	-0.909304083646793
0.25	-1.02	-0.899486781270951
0.25	-1.01	-0.889669278654902
0.25	-1	-0.879851572112954
0.25	-0.99	-0.870033658274794
0.25	-0.98	-0.860215534066274
0.25	-0.97	-0.850397196690758
0.25	-0.96	-0.840578643611036
0.25	-0.95	-0.830759872531868
0.25	-0.94	-0.820940881383194
0.25	-0.93	-0.811121668304041
0.25	-0.92	-0.801302231627134
0.25	-0.91	-0.791482569864237
0.25	-0.9	-0.781662681692236
0.25	-0.89	-0.771842565939954
0.25	-0.88	-0.762022221575709
0.25	-0.87	-0.7522016476956
0.25	-0.86	-0.742380843512504
0.25	-0.85	-0.732559808345794
0.25	-0.84	-0.722738541611724
0.25	-0.83	-0.712917042814494
0.25	-0.82	-0.703095311537949
0.25	-0.81	-0.693273347437899
0.25	-0.8	-0.683451150235023
0.25	-0.79	-0.67362871970835
0.25	-0.78	-0.663806055689257
0.25	-0.77	-0.653983158055986
0.25	-0.76	-0.644160026728632
0.25	-0.75	-0.634336661664577
0.25	-0.74	-0.624513062854348
0.25	-0.73	-0.614689230317861
